"2026-06-18 00:07:00,554 ERROR [http-nio-8081-exec-2] com.tpe.cinetime.security.JwtUtils:Access token is expired: JWT expired at 2026-06-17T20:46:07Z. Current time: 2026-06-17T21:07:00Z, a difference of 1253552 milliseconds.  Allowed clock skew: 0 milliseconds.
""2026-06-18 00:07:00,566 ERROR [http-nio-8081-exec-2] com.tpe.cinetime.security.AuthenticationEntryPointJwt:Unauthorized error: Full authentication is required to access this resource
""2026-06-18 00:07:38,349 ERROR [http-nio-8081-exec-1] com.tpe.cinetime.security.JwtUtils:Access token is expired: JWT expired at 2026-06-17T20:46:07Z. Current time: 2026-06-17T21:07:38Z, a difference of 1291349 milliseconds.  Allowed clock skew: 0 milliseconds.
""2026-06-18 00:07:38,351 ERROR [http-nio-8081-exec-1] com.tpe.cinetime.security.AuthenticationEntryPointJwt:Unauthorized error: Full authentication is required to access this resource
""2026-06-18 00:08:00,650 INFO  [http-nio-8081-exec-3] com.tpe.cinetime.service.authentication.AuthService:Inside login method
""2026-06-18 00:08:02,475 INFO  [http-nio-8081-exec-3] com.tpe.cinetime.security.JwtUtils:Refresh token generated and saved in Redis. Key: refreshToken:user:1
""2026-06-18 00:49:46,401 WARN  [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool:HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=36m29s566ms201µs400ns).
""2026-06-18 00:56:46,360 ERROR [http-nio-8081-exec-2] com.tpe.cinetime.security.JwtUtils:Access token is expired: JWT expired at 2026-06-17T21:23:00Z. Current time: 2026-06-17T21:56:46Z, a difference of 2026360 milliseconds.  Allowed clock skew: 0 milliseconds.
""2026-06-18 00:56:46,361 ERROR [http-nio-8081-exec-2] com.tpe.cinetime.security.AuthenticationEntryPointJwt:Unauthorized error: Full authentication is required to access this resource
""2026-06-18 00:58:29,856 INFO  [http-nio-8081-exec-4] com.tpe.cinetime.service.authentication.AuthService:Inside login method
""2026-06-18 00:58:30,057 INFO  [http-nio-8081-exec-4] com.tpe.cinetime.security.JwtUtils:Refresh token generated and saved in Redis. Key: refreshToken:user:1
""2026-06-18 01:15:51,874 ERROR [http-nio-8081-exec-5] com.tpe.cinetime.security.JwtUtils:Access token is expired: JWT expired at 2026-06-17T22:13:29Z. Current time: 2026-06-17T22:15:51Z, a difference of 142874 milliseconds.  Allowed clock skew: 0 milliseconds.
""2026-06-18 01:15:51,876 ERROR [http-nio-8081-exec-5] com.tpe.cinetime.security.AuthenticationEntryPointJwt:Unauthorized error: Full authentication is required to access this resource
""2026-06-18 01:16:09,884 INFO  [http-nio-8081-exec-7] com.tpe.cinetime.service.authentication.AuthService:Inside login method
""2026-06-18 01:16:10,082 INFO  [http-nio-8081-exec-7] com.tpe.cinetime.security.JwtUtils:Refresh token generated and saved in Redis. Key: refreshToken:user:1
""2026-06-18 01:19:57,477 WARN  [http-nio-8081-exec-3] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:SQL Error: 0, SQLState: 42P18
""2026-06-18 01:19:57,478 ERROR [http-nio-8081-exec-3] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:ERROR: could not determine data type of parameter $5
""2026-06-18 01:26:27,446 WARN  [http-nio-8081-exec-8] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:SQL Error: 0, SQLState: 42P18
""2026-06-18 01:26:27,446 ERROR [http-nio-8081-exec-8] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:ERROR: could not determine data type of parameter $5
""2026-06-18 01:26:29,567 WARN  [http-nio-8081-exec-10] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:SQL Error: 0, SQLState: 42P18
""2026-06-18 01:26:29,567 ERROR [http-nio-8081-exec-10] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:ERROR: could not determine data type of parameter $5
""2026-06-18 01:26:46,106 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Closing JPA EntityManagerFactory for persistence unit 'default'
""2026-06-18 01:26:46,249 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
""2026-06-18 01:26:46,251 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
""2026-06-18 01:26:53,996 INFO  [main] com.tpe.cinetime.CinetimeApplication:Starting CinetimeApplication using Java 17.0.17 on Serkan with PID 4412 (C:\Users\sdezc\Desktop\Fullstck proje\cinetime\target\classes started by sdezc in C:\Users\sdezc\Desktop\Fullstck proje\cinetime)
""2026-06-18 01:26:53,998 INFO  [main] com.tpe.cinetime.CinetimeApplication:No active profile set, falling back to 1 default profile: "default"
""2026-06-18 01:26:54,972 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Multiple Spring Data modules found, entering strict repository configuration mode
""2026-06-18 01:26:54,974 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2026-06-18 01:26:55,141 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 156 ms. Found 7 JPA repository interfaces.
""2026-06-18 01:26:55,150 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Multiple Spring Data modules found, entering strict repository configuration mode
""2026-06-18 01:26:55,152 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data Redis repositories in DEFAULT mode.
""2026-06-18 01:26:55,167 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.MovieRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:26:55,167 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.cinema.CinemaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:26:55,168 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.cinema.HallRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:26:55,168 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.cinema.SeatRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:26:55,169 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.showtime.ShowtimeRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:26:55,169 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.user.RoleRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:26:55,169 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.user.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:26:55,169 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
""2026-06-18 01:26:55,962 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat initialized with port(s): 8081 (http)
""2026-06-18 01:26:55,982 INFO  [main] org.apache.catalina.core.StandardService:Starting service [Tomcat]
""2026-06-18 01:26:55,982 INFO  [main] org.apache.catalina.core.StandardEngine:Starting Servlet engine: [Apache Tomcat/9.0.78]
""2026-06-18 01:26:56,166 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring embedded WebApplicationContext
""2026-06-18 01:26:56,166 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:Root WebApplicationContext: initialization completed in 2124 ms
""2026-06-18 01:26:57,071 INFO  [main] org.hibernate.jpa.internal.util.LogHelper:HHH000204: Processing PersistenceUnitInfo [name: default]
""2026-06-18 01:26:57,150 INFO  [main] org.hibernate.Version:HHH000412: Hibernate ORM core version 5.6.15.Final
""2026-06-18 01:26:57,303 INFO  [main] org.hibernate.annotations.common.Version:HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2026-06-18 01:26:57,383 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
""2026-06-18 01:26:57,528 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
""2026-06-18 01:26:57,551 INFO  [main] org.hibernate.dialect.Dialect:HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
""2026-06-18 01:26:58,302 INFO  [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2026-06-18 01:26:58,309 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Initialized JPA EntityManagerFactory for persistence unit 'default'
""2026-06-18 01:26:59,487 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2026-06-18 01:26:59,861 INFO  [main] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:Exposing 1 endpoint(s) beneath base path '/actuator'
""2026-06-18 01:26:59,887 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7aaf0f0a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@638b05fb, org.springframework.security.web.context.SecurityContextPersistenceFilter@7f6137fb, org.springframework.security.web.header.HeaderWriterFilter@5482b32a, org.springframework.web.filter.CorsFilter@77e42cbf, org.springframework.security.web.authentication.logout.LogoutFilter@1ebcfcf1, com.tpe.cinetime.security.AuthTokenFilter@53945f9c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@179f30b7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64864875, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@68bef3df, org.springframework.security.web.session.SessionManagementFilter@34538ffe, org.springframework.security.web.access.ExceptionTranslationFilter@2b9a7211, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5379488c]
""2026-06-18 01:27:00,297 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat started on port(s): 8081 (http) with context path ''
""2026-06-18 01:27:00,309 INFO  [main] com.tpe.cinetime.CinetimeApplication:Started CinetimeApplication in 6.67 seconds (JVM running for 7.023)
""2026-06-18 01:27:25,514 INFO  [http-nio-8081-exec-2] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring DispatcherServlet 'dispatcherServlet'
""2026-06-18 01:27:25,599 WARN  [http-nio-8081-exec-2] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:SQL Error: 0, SQLState: 42P18
""2026-06-18 01:27:25,600 ERROR [http-nio-8081-exec-2] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:ERROR: could not determine data type of parameter $5
""2026-06-18 01:27:27,349 WARN  [http-nio-8081-exec-4] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:SQL Error: 0, SQLState: 42P18
""2026-06-18 01:27:27,350 ERROR [http-nio-8081-exec-4] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:ERROR: could not determine data type of parameter $5
""2026-06-18 01:27:39,749 WARN  [http-nio-8081-exec-6] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:SQL Error: 0, SQLState: 42P18
""2026-06-18 01:27:39,750 ERROR [http-nio-8081-exec-6] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:ERROR: could not determine data type of parameter $5
""2026-06-18 01:27:40,898 WARN  [http-nio-8081-exec-8] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:SQL Error: 0, SQLState: 42P18
""2026-06-18 01:27:40,899 ERROR [http-nio-8081-exec-8] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:ERROR: could not determine data type of parameter $5
""2026-06-18 01:27:52,021 INFO  [http-nio-8081-exec-10] com.tpe.cinetime.service.authentication.AuthService:Inside login method
""2026-06-18 01:27:53,642 INFO  [http-nio-8081-exec-10] com.tpe.cinetime.security.JwtUtils:Refresh token generated and saved in Redis. Key: refreshToken:user:1
""2026-06-18 01:28:41,202 WARN  [http-nio-8081-exec-1] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:SQL Error: 0, SQLState: 42P18
""2026-06-18 01:28:41,202 ERROR [http-nio-8081-exec-1] org.hibernate.engine.jdbc.spi.SqlExceptionHelper:ERROR: could not determine data type of parameter $5
""2026-06-18 01:33:42,881 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Closing JPA EntityManagerFactory for persistence unit 'default'
""2026-06-18 01:33:43,031 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown initiated...
""2026-06-18 01:33:43,034 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Shutdown completed.
""2026-06-18 01:33:51,526 INFO  [main] com.tpe.cinetime.CinetimeApplication:Starting CinetimeApplication using Java 17.0.17 on Serkan with PID 32316 (C:\Users\sdezc\Desktop\Fullstck proje\cinetime\target\classes started by sdezc in C:\Users\sdezc\Desktop\Fullstck proje\cinetime)
""2026-06-18 01:33:51,529 INFO  [main] com.tpe.cinetime.CinetimeApplication:No active profile set, falling back to 1 default profile: "default"
""2026-06-18 01:33:52,485 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Multiple Spring Data modules found, entering strict repository configuration mode
""2026-06-18 01:33:52,488 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2026-06-18 01:33:52,642 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 145 ms. Found 7 JPA repository interfaces.
""2026-06-18 01:33:52,652 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Multiple Spring Data modules found, entering strict repository configuration mode
""2026-06-18 01:33:52,653 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data Redis repositories in DEFAULT mode.
""2026-06-18 01:33:52,673 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.MovieRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:33:52,674 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.cinema.CinemaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:33:52,674 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.cinema.HallRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:33:52,675 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.cinema.SeatRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
""2026-06-18 01:33:52,675 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport:Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.tpe.cinetime.repository.showtime.ShowtimeRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
